Feature,Value,N,fbeta,precision,recall
relationship,Unmarried,682,0.49315068493150693,0.35294117647058826,0.8181818181818182
relationship,Own-child,1030,0.5000000000000001,0.36363636363636365,0.8
relationship,Wife,318,0.6714285714285715,0.6438356164383562,0.7014925373134329
relationship,Other-relative,208,0.33333333333333337,0.2,1.0
race,White,5575,0.7268022181146025,0.6732876712328767,0.7895582329317269
race,Asian-Pac-Islander,210,0.712871287128713,0.72,0.7058823529411765
race,Black,620,0.5689655172413793,0.5076923076923077,0.6470588235294118
race,Amer-Indian-Eskimo,57,0.6363636363636364,0.4666666666666667,1.0
race,Other,51,0.8,0.6666666666666666,1.0
sex,Male,4353,0.7348544453186467,0.6887905604719764,0.7875210792580101
sex,Female,2160,0.6262135922330095,0.5375,0.75
native-country,United-States,5829,0.716517857142857,0.6614010989010989,0.7816558441558441
native-country,Ireland,7,0.0,0.0,1.0
native-country,Philippines,43,0.8888888888888888,0.8888888888888888,0.8888888888888888
native-country,Taiwan,11,0.75,0.75,0.75
native-country,Mexico,143,0.4,0.25,1.0
native-country,Puerto-Rico,28,1.0,1.0,1.0
native-country,?,103,0.7666666666666666,0.6764705882352942,0.8846153846153846
native-country,Germany,32,0.7272727272727274,0.8888888888888888,0.6153846153846154
native-country,Honduras,2,1.0,1.0,1.0
native-country,Vietnam,8,0.0,0.0,1.0
native-country,India,25,0.7999999999999999,0.8888888888888888,0.7272727272727273
native-country,Haiti,9,0.0,0.0,1.0
native-country,Nicaragua,5,1.0,1.0,1.0
native-country,Jamaica,15,0.8,1.0,0.6666666666666666
native-country,Portugal,10,1.0,1.0,1.0
native-country,Guatemala,14,0.0,0.0,1.0
native-country,Greece,6,0.8,0.6666666666666666,1.0
native-country,Italy,12,1.0,1.0,1.0
native-country,Columbia,8,1.0,1.0,1.0
native-country,South,16,0.0,0.0,0.0
native-country,Cuba,20,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,Peru,6,0.0,1.0,0.0
native-country,Japan,13,0.8333333333333333,1.0,0.7142857142857143
native-country,Thailand,5,1.0,1.0,1.0
native-country,El-Salvador,17,1.0,1.0,1.0
native-country,Ecuador,5,1.0,1.0,1.0
native-country,Dominican-Republic,16,0.0,0.0,1.0
native-country,Yugoslavia,2,1.0,1.0,1.0
native-country,England,16,0.8333333333333333,0.7142857142857143,1.0
native-country,Hungary,5,1.0,1.0,1.0
native-country,Hong,4,1.0,1.0,1.0
native-country,Poland,12,0.5,0.3333333333333333,1.0
native-country,China,17,0.7999999999999999,0.8571428571428571,0.75
native-country,Trinadad&Tobago,1,1.0,1.0,1.0
native-country,Cambodia,7,0.5714285714285715,0.6666666666666666,0.5
native-country,Iran,7,0.75,0.75,0.75
native-country,Canada,24,0.823529411764706,0.875,0.7777777777777778
native-country,Laos,2,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country,France,5,1.0,1.0,1.0
native-country,Scotland,1,1.0,1.0,1.0
